timestamp	fps	LeftGazeX	LeftGazeY	RightGazeX	RightGazeY	LeftBlink	RightBlink	
9.78859e+07	8	0	0	0	0	0	0	
9.7886e+07	8	0	0	0	0	0	0	
9.78861e+07	8	0	0	0	0	0	0	
9.78863e+07	9	0	0	0	0	0	0	
9.78864e+07	9	0	0	0	0	0	0	
9.78865e+07	9	0	0	0	0	0	0	
9.78866e+07	9	0	0	0	0	0	0	
9.78868e+07	9	0	0	0	0	0	0	
9.78869e+07	9	0	0	0	0	0	0	
9.7887e+07	9	0	0	0	0	0	0	
9.78872e+07	9	0	0	0	0	0	0	
9.78873e+07	8	0	0	0	0	0	0	
9.78874e+07	8	0	0	0	0	0	0	
9.78875e+07	8	0	0	0	0	0	0	
9.78877e+07	8	0	0	0	0	0	0	
9.78878e+07	8	0	0	0	0	0	0	
9.78879e+07	8	0	0	0	0	0	0	
9.78881e+07	8	0	0	0	0	0	0	
9.78882e+07	8	0	0	0	0	0	0	
9.78883e+07	8	0	0	0	0	0	0	
9.78885e+07	8	0	0	0	0	0	0	
9.78886e+07	8	0	0	0	0	0	0	
9.78887e+07	8	0	0	0	0	0	0	
9.78888e+07	8	0	0	0	0	0	0	
9.7889e+07	8	0	0	0	0	0	0	
9.78891e+07	8	0	0	0	0	0	0	
9.78892e+07	8	0	0	0	0	0	0	
9.78893e+07	8	0	0	0	0	0	0	
9.78895e+07	8	0	0	0	0	0	0	
9.78896e+07	8	0	0	0	0	0	0	
9.78897e+07	8	0	0	0	0	0	0	
9.78899e+07	8	0	0	0	0	0	0	
9.789e+07	8	0	0	0	0	0	0	
9.78901e+07	8	0	0	0	0	0	0	
9.78903e+07	8	0	0	0	0	0	0	
9.78904e+07	8	0	0	0	0	0	0	
9.78905e+07	8	0	0	0	0	0	0	
9.78907e+07	8	0	0	0	0	0	0	
9.78908e+07	8	0	0	0	0	0	0	
9.78909e+07	8	0	0	0	0	0	0	
9.78911e+07	8	0	0	0	0	0	0	
9.78912e+07	8	0	0	0	0	0	0	
9.78913e+07	8	0	0	0	0	0	0	
9.78914e+07	8	0	0	0	0	0	0	
9.78916e+07	8	0	0	0	0	0	0	
9.78917e+07	8	0	0	0	0	0	0	
9.78918e+07	8	0	0	0	0	0	0	
9.78919e+07	8	0	0	0	0	0	0	
9.78921e+07	8	0	0	0	0	0	0	
9.78922e+07	8	0	0	0	0	0	0	
9.78923e+07	8	0	0	0	0	0	0	
9.78924e+07	8	0	0	0	0	0	0	
9.78926e+07	8	0	0	0	0	0	0	
9.78927e+07	8	0	0	0	0	0	0	
9.78928e+07	8	0	0	0	0	0	0	
9.78929e+07	8	0	0	0	0	0	0	
9.78931e+07	8	0	0	0	0	0	0	
9.78932e+07	8	0	0	0	0	0	0	
9.78933e+07	8	0	0	0	0	0	0	
9.78934e+07	8	0	0	0	0	0	0	
9.78935e+07	9	0	0	0	0	0	0	
9.78937e+07	9	0	0	0	0	0	0	
9.78938e+07	9	0	0	0	0	0	0	
9.78939e+07	9	0	0	0	0	0	0	
9.7894e+07	9	0	0	0	0	0	0	
9.78942e+07	9	0	0	0	0	0	0	
9.78943e+07	9	0	0	0	0	0	0	
9.78944e+07	9	0	0	0	0	0	0	
9.78946e+07	8	0	0	0	0	0	0	
9.78947e+07	8	0	0	0	0	0	0	
9.78948e+07	8	0	0	0	0	0	0	
9.78949e+07	8	0	0	0	0	0	0	
9.78951e+07	8	0	0	0	0	0	0	
9.78952e+07	8	0	0	0	0	0	0	
9.78953e+07	8	0	0	0	0	0	0	
9.78954e+07	8	0	0	0	0	0	0	
9.78955e+07	8	0	0	0	0	0	0	
9.78957e+07	9	0	0	0	0	0	0	
9.78958e+07	9	0	0	0	0	0	0	
9.78959e+07	9	0	0	0	0	0	0	
9.78961e+07	9	0	0	0	0	0	0	
9.78962e+07	9	0	0	0	0	0	0	
9.78964e+
