timestamp	fps	LeftGazeX	LeftGazeY	RightGazeX	RightGazeY	LeftBlink	RightBlink	
9.78769e+07	9	0	0	0	0	0	0	
9.78771e+07	9	0	0	0	0	0	0	
9.78772e+07	9	0	0	0	0	0	0	
9.78773e+07	9	0	0	0	0	0	0	
9.78775e+07	9	0	0	0	0	0	0	
9.78776e+07	9	0	0	0	0	0	0	
9.78777e+07	8	0	0	0	0	0	0	
9.78779e+07	8	0	0	0	0	0	0	
9.7878e+07	8	0	0	0	0	0	0	
9.78782e+07	8	0	0	0	0	0	0	
9.78783e+07	8	0	0	0	0	0	0	
9.78785e+07	8	0	0	0	0	0	0	
9.78786e+07	8	0	0	0	0	0	0	
9.78788e+07	7	0	0	0	0	0	0	
9.78789e+07	7	0	0	0	0	0	0	
9.7879e+07	7	0	0	0	0	0	0	
9.78791e+07	7	0	0	0	0	0	0	
9.78793e+07	7	0	0	0	0	0	0	
9.78794e+07	7	0	0	0	0	0	0	
9.78796e+07	7	0	0	0	0	0	0	
9.78797e+07	7	0	0	0	0	0	0	
9.78799e+07	8	0	0	0	0	0	0	
9.788e+07	8	0	0	0	0	0	0	
9.78802e+07	8	0	0	0	0	0	0	
9.78803e+07	8	0	0	0	0	0	0	
9.78804e+07	8	0	0	0	0	0	0	
9.78806e+07	8	0	0	0	0	0	0	
9.78807e+07	8	0	0	0	0	0	0	
9.78809e+07	8	0	0	0	0	0	0	
9.7881e+07	8	0	0	0	0	0	0	
9.78811e+07	8	0	0	0	0	0	0	
9.78813e+07	8	0	0	0	0	0	0	
9.78814e+07	8	0	0	0	0	0	0	
9.78815e+07	8	0	0	0	0	0	0	
9.78817e+07	8	0	0	0	0	0	0	
9.78818e+07	8	0	0	0	0	0	0	
9.78819e+07	8	0	0	0	0	0	0	
9.78821e+07	8	0	0	0	0	0	0	
9.78822e+07	8	0	0	0	0	0	0	
9.78823e+07	8	0	0	0	0	0	0	
9.78825e+07	8	0	0	0	0	0	0	
9.78826e+07	8	0	0	0	0	0	0	
9.78827e+07	8	0	0	0	0	0	0	
9.78829e+07	8	0	0	0	0	0	0	
9.7883e+07	8	0	0	0	0	0	0	
9.78831e+07	8	0	0	0	0	0	0	
9.78833e+07	8	0	0	0	0	0	0	
9.78834e+07	8	0	0	0	0	0	0	
9.78835e+07	8	0	0	0	0	0	0	
9.78836e+07	8	0	0	0	0	0	0	
9.78838e+07	8	0	0	0	0	0	0	
9.78839e+07	8	0	0	0	0	0	0	
9.7884e+07	8	0	0	0	0	0	0	
9.78842e+07	8	0	0	0	0	0	0	
9.78843e+07	8	0	0	0	0	0	0	
9.78844e+07	8	0	0	0	0	0	0	
9.78845e+07	8	0	0	0	0	0	0	
9.78847e+07	8	0	0	0	0	0	0	
9.78848e+07	8	0	0	0	0	0	0	
9.78849e+07	8	0	0	0	0	0	0	
9.7885e+07	8	0	0	0	0	0	0	
9.78852e+07	8	0	0	0	0	0	0	
9.78853e+07	8	0	0	0	0	0	0	
9.78854e+07	8	0	0	0	0	0	0	
9.78855e+07	8	0	0	0	0	0	0	
9.78857e+07	8	0	0	0	0	0	0	
9.78858e+07	8	0	0	0	0	0	0	
